Date,000001.SS_target,^FTSE_target,^GDAXI_target,^GSPC_target,^HSI_target,^IXIC_target,^N225_target
2006-11-13,0.1671809932139307,0.0744868827685199,0.0921481962394853,0.0715686635093797,0.0822442103950102,0.1113414365720351,0.1214629920671846
2006-11-14,0.1711920706918657,0.0776074153662209,0.0938377589361038,0.071538921090049,0.0877019347670275,0.1119116151753469,0.1162158033859552
2006-11-15,0.1699047205642342,0.0682837948549866,0.0809903006221287,0.0697897850493918,0.0873013382989722,0.1067259238205262,0.1162301372426899
2006-11-16,0.1715312744695187,0.0749078306817438,0.0783705055490873,0.0697903850116143,0.0873547091357267,0.1057333906635677,0.1159360914049899
2006-11-17,0.1822323685856163,0.0751082069275146,0.0792923094494232,0.0700121352845177,0.0986887549564983,0.1057490832894404,0.1361974418968235
2006-11-20,0.1813897230964221,0.0751242857594274,0.0789625625224117,0.0700361097208804,0.0973394306948391,0.1057039496110613,0.1333815605526424
2006-11-21,0.1623627670079653,0.0787378642801541,0.0773127042528206,0.0679227517605434,0.1026661382815656,0.1053253903307201,0.1368499366346383
2006-11-22,0.1485749700151807,0.0788685881407375,0.0774951035652761,0.0679602837105588,0.1028698585564572,0.1029780058006273,0.136944637214863
2006-11-23,0.152828247219019,0.0768375336635682,0.0864638468779998,0.06903052210589,0.1030301511641728,0.1036456303065665,0.1400676576056766
2006-11-24,0.1544974246764363,0.0846429645367989,0.1072433455693804,0.0824054129536542,0.1005669626965485,0.1287881543002352,0.1426570006997796
2006-11-27,0.156003166065742,0.0846996376537194,0.1069500044969831,0.0778289493844322,0.1470159198864234,0.1209852907769634,0.141101035476432
2006-11-28,0.1554458724468889,0.0903653394683614,0.1153652631040289,0.0834006728683832,0.1487119262138714,0.1223770066236052,0.1377911921366137
2006-11-29,0.161459815215371,0.0922301423769717,0.1195643404533615,0.0833643949470141,0.1513655996093922,0.1224806396688505,0.1442617366599044
2006-11-30,0.1617055049970242,0.0920565458549154,0.1246321620152131,0.0793574336886794,0.159143843760269,0.1150238803830745,0.1446142154299544
2006-12-01,0.1755986471791125,0.094062683590426,0.1222702449516013,0.0835435240864454,0.151825808214276,0.1228723791368198,0.1445720063307162
2006-12-04,0.1756452512980378,0.0967344452801685,0.1283977504996978,0.0829831770959299,0.1578801437582232,0.1222465745755641,0.1447607451003322
2006-12-05,0.181850520183976,0.0856108594212638,0.1194722962311293,0.0761051027370257,0.1549732344395307,0.1146641076736996,0.1464997071462715
2006-12-06,0.1824081579861844,0.088504531187034,0.1205135065828721,0.0778613073988732,0.1585557488524391,0.1181211134183992,0.1479062952516162
2006-12-07,0.2108880664877042,0.0896551359223895,0.1203703828400977,0.0778131981960592,0.1579693744039569,0.1181710807972991,0.1432390691056383
2006-12-08,0.2405595507366166,0.089841729767703,0.1220286373427541,0.0748230717740381,0.1594987100701381,0.1170230521986562,0.1445797275212216
2006-12-11,0.2385615829343163,0.0891299268851127,0.1219864215280027,0.0751290863652283,0.1591327957752309,0.1175099557009376,0.1440406068822372
2006-12-12,0.2309385290857786,0.0912687291417445,0.1226326251574589,0.0749329599059208,0.1627343438433571,0.1154653027757817,0.1419439359197344
2006-12-13,0.230588779213633,0.093165410089084,0.1231527008447458,0.0773079351444514,0.166983176881605,0.1142843557529316,0.1341617637383076
2006-12-14,0.2280106750265498,0.0917901295491225,0.1225288412181561,0.077158806428088,0.1660316693703229,0.1132167623253892,0.1337704451094804
2006-12-15,0.2358032833915195,0.0910609550525593,0.1224995920880459,0.0782952771214921,0.1663242146662358,0.1169555205420751,0.1316298515383641
2006-12-18,0.2351907463881148,0.0874538568192549,0.1237366705204862,0.0784393936377959,0.1711345921146295,0.1171486115436654,0.1373032740877814
2006-12-19,0.2298072605903826,0.0872354401264993,0.1232220522937476,0.0786808248230711,0.1732542951769432,0.1166361119945574,0.1113360317816527
2006-12-20,0.2394827554641742,0.0876003060306683,0.1236051659371382,0.0799998586026374,0.1731588690225406,0.1174561162796157,0.1109348028244691
2006-12-21,0.239889027617366,0.0843609918631948,0.1295051476100193,0.0820687180568189,0.1685989268923518,0.1172526137812099,0.1074907803287417
2006-12-22,0.2634651236001551,0.0834432757528733,0.1295018723685854,0.0820687180568189,0.16858657005723,0.1172526137812099,0.1077754195874791
2006-12-25,0.2613572324335528,0.0826439012485779,0.1245566608878656,0.0820776675976992,0.1685816312723355,0.1190978090548008,0.0945466159969262
2006-12-26,0.2627461230405826,0.0749218356544201,0.1167566731196191,0.0678293892093136,0.1819346021041784,0.0947666049550958,0.0924798659997287
2006-12-27,0.2581392532633896,0.0728313158197402,0.1156967877575941,0.0681433206572373,0.1497209114053726,0.0948534035216243,0.09127615941712
2006-12-28,0.2778535322352471,0.0686536982778287,0.1102153048001219,0.0646822430710576,0.1498297687723254,0.0917357810377608,0.0847060914834769
2006-12-29,0.2784507423241513,0.077917838812262,0.1100144238385945,0.0647093353684758,0.1560543500740058,0.0917411946278582,0.0788400722919015
2007-01-02,0.2790354421496098,0.0745369679217473,0.0993124750098336,0.0639294089668093,0.1433146426309673,0.0886285581336523,0.0793088022333928
2007-01-03,0.272931107356713,0.0778194580437568,0.0991270328311947,0.0570254517098418,0.1632197180710394,0.0848401944199974,0.0799443634784849
2007-01-04,0.3017484998616783,0.0869021984001381,0.1051912003553645,0.0593602298909451,0.161088803662046,0.0887551048948697,0.0994612329083022
2007-01-05,0.3002817397627486,0.0886425416585214,0.1049537994715323,0.0597400110828773,0.1659775088845722,0.0885925422218659,0.0985764765436016
2007-01-08,0.3104642614869267,0.0860911060566009,0.1033673592651404,0.0581013047357141,0.1636023596847017,0.0850098130881673,0.1000653246140093
2007-01-09,0.2742467529096729,0.0878953773908941,0.1073645297141454,0.0581467140502102,0.1742258387835214,0.0865837080136446,0.1185051462107486
2007-01-10,0.2790763469533368,0.0956285175787867,0.1210506055364105,0.0614329098884426,0.175967795872523,0.0927368370556029,0.1196441425891739
2007-01-11,0.3222048414181639,0.0955979306445673,0.1211010715606076,0.0630424568954516,0.1793813335640708,0.0931177693449002,0.1250616777934263
2007-01-12,0.3457833237163561,0.0945466973971744,0.1199731411756427,0.0630430162673215,0.1880664405278501,0.0931665958441519,0.1276525236057865
2007-01-15,0.3457777625756212,0.0965399379964977,0.1199465898031353,0.0561782603232028,0.186881213508391,0.0898722594315561,0.1254956883500919
2007-01-16,0.3562215236195521,0.0948824965689295,0.1194144329464035,0.0561973776631248,0.1850000888300609,0.0939967753869112,0.1249857276730899
2007-01-17,0.3557850374497795,0.094806943766443,0.1197130368395699,0.056017841967841,0.1870478162022694,0.1026325165254068,0.1261825540081178
2007-01-18,0.3613077613039723,0.0929149698424833,0.1196811165936574,0.056391939530109,0.179892149925959,0.1027296769018245,0.1199834171276673
2007-01-19,0.3720398724971933,0.0935063542078434,0.1237101589298802,0.0591475570120079,0.1868281139169993,0.1068311454347791,0.1132512620709707
2007-01-22,0.3638512873726461,0.0931580066596826,0.1235497149904702,0.05882753743638,0.1866278414779732,0.1053981887524109,0.1133772408662625
2007-01-23,0.3621423573052535,0.1039044290585135,0.1205386535669616,0.0614280949212604,0.1865760175474036,0.1128226312285006,0.1142314914703283
2007-01-24,0.3873482905870787,0.1074829697171466,0.122113020876704,0.0741590334219982,0.1897736442278911,0.1227565731610707,0.1148408934587744
2007-01-25,0.3855698343272036,0.1102032578269352,0.1236333452419776,0.0730075814804778,0.203814476356013,0.1217156478949449,0.1145868874063
2007-01-26,0.3850619925578147,0.1061257323158918,0.1130233241423485,0.0689582898429363,0.1932766070949677,0.1194673920741151,0.1145009209655478
2007-01-29,0.3865571306495535,0.1061083294970351,0.1165312841294756,0.0716407919135961,0.1912167565618666,0.1195073570040746,0.1144945371804898
2007-01-30,0.4102435312570152,0.1076912729415924,0.1159618594270298,0.0728232174985848,0.201075656169173,0.1198439617656664,0.1167953618661504
2007-01-31,0.410262496667336,0.1050516095063327,0.1123318955978613,0.0744880229749005,0.1999243113232652,0.1198358151934116,0.1194159419735821
2007-02-01,0.4353070177813847,0.1061877473835388,0.1130947030373998,0.0741628979495498,0.2004000827600895,0.1197883835291708,0.1194132779404168
2007-02-02,0.4385483036620151,0.1047333030527266,0.1127911308376347,0.0744565762105329,0.1893717601671571,0.1130514833450511,0.1241101262063591
2007-02-05,0.4366276748418102,0.0981332638116195,0.1021405114957092,0.0702071197487102,0.1896294216600293,0.1092878720378318,0.1122294530375483
2007-02-06,0.4314560220712377,0.0968309838843592,0.1029788725361268,0.0701216650762957,0.1862780064223343,0.1117893658913797,0.1150057737343066
2007-02-07,0.4130195597973219,0.0982089668625159,0.1062031621961456,0.0703498573048639,0.1841042668217285,0.1118252379253745,0.1114669106457791
2007-02-08,0.4121915591412105,0.0962949507040987,0.1017095057980444,0.0755936567083996,0.1729256090421679,0.1176308499928254,0.1002208365769035
