Analysis,Horizon,Index,Loss,Model_A,Model_B,Part_A,Family_A,Part_B,Family_B,N,Start,End,Mean_Loss_A,Mean_Loss_B,Mean_Diff,Direction,DM_Stat,Ref_Dist,HAC_Kernel,HAC_Lag,HAC_Lag_Rule,LongRun_Var,P_Raw,Correction,Test_Family,Family_Size,P_Adj,Alpha,Significant,Status
ablation,1day,^GDAXI,QLIKE,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0293448143561224,-1.020348054242792,-0.008996760113330221,A_lower,-1.6827292291551277,t(T-1),Bartlett,24,auto_floor_h-1,0.022496685489732243,0.0928246653064766,holm,ablation|QLIKE|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^GDAXI,QLIKE,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.061587480613038,-1.0635831737370285,0.0019956931239901794,B_lower,3.5173953697544738,t(T-1),Bartlett,21,fixed_21,0.00025334939950283526,0.00046081353982961744,holm,ablation|QLIKE|fixed_21,63,0.024883931150799343,0.05,True,tested
ablation,1day,^GDAXI,QLIKE,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0571996928697927,-1.0617619462820014,0.004562253412208701,B_lower,3.5427534109921437,t(T-1),Bartlett,21,fixed_21,0.0013051237475527329,0.0004193282613647309,holm,ablation|QLIKE|fixed_21,63,0.0230630543750602,0.05,True,tested
ablation,1day,^GDAXI,QLIKE,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0293448143561224,-1.020348054242792,-0.008996760113330221,A_lower,-1.7316923833560043,t(T-1),Bartlett,21,fixed_21,0.021242494786381787,0.08372070379282441,holm,ablation|QLIKE|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^GDAXI,SquaredError,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00020935061555434048,0.0001038009687394407,0.00010554964681489978,B_lower,2.5350143511684484,t(T-1),Bartlett,20,auto_floor_h-1,1.3643552193704739e-06,0.011437119583133695,holm,ablation|SquaredError|auto_floor_h-1,63,0.5604188595735511,0.05,False,tested
ablation,1day,^GDAXI,SquaredError,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00028615863994561175,0.00018175628136095037,0.00010440235858466137,B_lower,3.1203048824096156,t(T-1),Bartlett,15,auto_floor_h-1,8.810514923985614e-07,0.001872660245250948,holm,ablation|SquaredError|auto_floor_h-1,63,0.11235961471505687,0.05,False,tested
ablation,1day,^GDAXI,SquaredError,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.0015224450017709689,0.0020087174630951158,-0.0004862724613241467,A_lower,-1.231242180930451,t(T-1),Bartlett,24,auto_floor_h-1,0.00012275723896235124,0.218600572636891,holm,ablation|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^GDAXI,SquaredError,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00020935061555434048,0.0001038009687394407,0.00010554964681489978,B_lower,2.5030623405502137,t(T-1),Bartlett,21,fixed_21,1.3994099868209334e-06,0.012514240485674689,holm,ablation|SquaredError|fixed_21,63,0.6131977837980598,0.05,False,tested
ablation,1day,^GDAXI,SquaredError,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00028615863994561175,0.00018175628136095037,0.00010440235858466137,B_lower,3.0574769231256687,t(T-1),Bartlett,21,fixed_21,9.176329018505707e-07,0.002307722421214765,holm,ablation|SquaredError|fixed_21,63,0.13615562285167113,0.05,False,tested
ablation,1day,^GDAXI,SquaredError,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.0015224450017709689,0.0020087174630951158,-0.0004862724613241467,A_lower,-1.2537698590018465,t(T-1),Bartlett,21,fixed_21,0.00011838547817655037,0.2102984419704095,holm,ablation|SquaredError|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^N225,QLIKE,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.7341957643845757,-0.7342565958926367,6.0831508060973975e-05,B_lower,0.30662845647254655,t(T-1),Bartlett,5,auto_floor_h-1,3.097469116377789e-05,0.7592074003686434,holm,ablation|QLIKE|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^N225,QLIKE,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.7341755327566338,-0.7220491000924059,-0.01212643266422786,A_lower,-3.7807287560426004,t(T-1),Bartlett,14,auto_floor_h-1,0.00809635999680133,0.0001682151188285828,holm,ablation|QLIKE|auto_floor_h-1,63,0.009924692010886386,0.05,True,tested
ablation,1day,^N225,QLIKE,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.6844994752161601,-0.671344968419749,-0.013154506796411192,A_lower,-1.006904571282708,t(T-1),Bartlett,25,auto_floor_h-1,0.13432202999762466,0.31429050494219607,holm,ablation|QLIKE|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^N225,QLIKE,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.7341957643845757,-0.7342565958926367,6.0831508060973975e-05,B_lower,0.3045780725405478,t(T-1),Bartlett,21,fixed_21,3.1393130872866075e-05,0.7607681467731818,holm,ablation|QLIKE|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^N225,QLIKE,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.7341755327566338,-0.7220491000924059,-0.01212643266422786,A_lower,-3.7746932751789317,t(T-1),Bartlett,21,fixed_21,0.008122271766858811,0.00017226537003297307,holm,ablation|QLIKE|fixed_21,63,0.010163656831945412,0.05,True,tested
ablation,1day,^N225,QLIKE,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-0.6844994752161601,-0.671344968419749,-0.013154506796411192,A_lower,-1.0434264078069655,t(T-1),Bartlett,21,fixed_21,0.1250835572821437,0.2970716560097886,holm,ablation|QLIKE|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^N225,SquaredError,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.000456603038036291,0.0004281457372339491,2.845730080234185e-05,B_lower,0.8335199546858625,t(T-1),Bartlett,3,auto_floor_h-1,9.173395934776051e-07,0.40480476744480925,holm,ablation|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^N225,SquaredError,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.0004522548439954968,0.0017791702637553108,-0.0013269154197598138,A_lower,-2.733420957924099,t(T-1),Bartlett,17,auto_floor_h-1,0.00018545911129289966,0.006408917157582685,holm,ablation|SquaredError|auto_floor_h-1,63,0.33326369219429963,0.05,False,tested
ablation,1day,^N225,SquaredError,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00749115572639166,0.00824866287580084,-0.0007575071494091808,A_lower,-0.7480535650875476,t(T-1),Bartlett,24,auto_floor_h-1,0.000807017236229697,0.4546516059137947,holm,ablation|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^N225,SquaredError,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.000456603038036291,0.0004281457372339491,2.845730080234185e-05,B_lower,0.9333733306442679,t(T-1),Bartlett,21,fixed_21,7.315623835079728e-07,0.3509138759544913,holm,ablation|SquaredError|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^N225,SquaredError,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.0004522548439954968,0.0017791702637553108,-0.0013269154197598138,A_lower,-2.664420297239198,t(T-1),Bartlett,21,fixed_21,0.0001951891835395095,0.007870191982600682,holm,ablation|SquaredError|fixed_21,63,0.40924998309523547,0.05,False,tested
