Analysis,Horizon,Index,Loss,Model_A,Model_B,Part_A,Family_A,Part_B,Family_B,N,Start,End,Mean_Loss_A,Mean_Loss_B,Mean_Diff,Direction,DM_Stat,Ref_Dist,HAC_Kernel,HAC_Lag,HAC_Lag_Rule,LongRun_Var,P_Raw,Correction,Test_Family,Family_Size,P_Adj,Alpha,Significant,Status
hybrid_vs_garch,1day,^FTSE,SquaredError,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.0013215022795641722,0.000736438190762245,0.0005850640888019271,B_lower,1.8724105142101048,t(T-1),Bartlett,22,auto_floor_h-1,7.683860540075555e-05,0.06152090192986699,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^FTSE,SquaredError,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00014116861589467115,0.000736438190762245,-0.0005952695748675738,A_lower,-4.327276090598343,t(T-1),Bartlett,21,fixed_21,1.4892681220026786e-05,1.7043986738987088e-05,holm,hybrid_vs_garch|SquaredError|fixed_21,63,0.000971507244122264,0.05,True,tested
hybrid_vs_garch,1day,^FTSE,SquaredError,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00020384594715339076,0.000736438190762245,-0.0005325922436088543,A_lower,-4.031293548658858,t(T-1),Bartlett,21,fixed_21,1.3736483218265547e-05,6.086995334567199e-05,holm,hybrid_vs_garch|SquaredError|fixed_21,63,0.0033478474340119593,0.05,True,tested
hybrid_vs_garch,1day,^FTSE,SquaredError,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.0013215022795641722,0.000736438190762245,0.0005850640888019271,B_lower,1.8948684519482708,t(T-1),Bartlett,21,fixed_21,7.502802006827221e-05,0.05847657656509246,holm,hybrid_vs_garch|SquaredError|fixed_21,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^GDAXI,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.061587480613038,-1.0457480157145056,-0.015839464898532652,A_lower,-5.811194432369087,t(T-1),Bartlett,23,auto_floor_h-1,0.005846890105266626,9.011024788058968e-09,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,5.046173881313022e-07,0.05,True,tested
hybrid_vs_garch,1day,^GDAXI,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.0571996928697927,-1.0457480157145056,-0.011451677155287094,A_lower,-5.703267445588203,t(T-1),Bartlett,22,auto_floor_h-1,0.0031729662233627464,1.6637588795043594e-08,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,8.984297949323541e-07,0.05,True,tested
hybrid_vs_garch,1day,^GDAXI,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.0293448143561224,-1.0457480157145056,0.01640320135838334,B_lower,2.5695945904067528,t(T-1),Bartlett,23,auto_floor_h-1,0.0320702795800654,0.010365027835086084,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.3213158628876686,0.05,False,tested
hybrid_vs_garch,1day,^GDAXI,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.061587480613038,-1.0457480157145056,-0.015839464898532652,A_lower,-5.945922736382762,t(T-1),Bartlett,21,fixed_21,0.005584923400468037,4.133027692268849e-09,holm,hybrid_vs_garch|QLIKE|fixed_21,63,2.355825784593244e-07,0.05,True,tested
hybrid_vs_garch,1day,^GDAXI,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.0571996928697927,-1.0457480157145056,-0.011451677155287094,A_lower,-5.750273193988606,t(T-1),Bartlett,21,fixed_21,0.0031213032705224558,1.2753595392604762e-08,holm,hybrid_vs_garch|QLIKE|fixed_21,63,6.886941512006572e-07,0.05,True,tested
hybrid_vs_garch,1day,^GDAXI,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.0293448143561224,-1.0457480157145056,0.01640320135838334,B_lower,2.5812301352897777,t(T-1),Bartlett,21,fixed_21,0.03178180151923187,0.010024982000385669,holm,hybrid_vs_garch|QLIKE|fixed_21,63,0.31077444201195575,0.05,False,tested
hybrid_vs_garch,1day,^GDAXI,SquaredError,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00020935061555434048,0.0008088075322141161,-0.0005994569166597756,A_lower,-5.43408520758532,t(T-1),Bartlett,18,auto_floor_h-1,9.577183210760795e-06,7.351842391575422e-08,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,4.337587011029499e-06,0.05,True,tested
hybrid_vs_garch,1day,^GDAXI,SquaredError,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00028615863994561175,0.0008088075322141161,-0.0005226488922685043,A_lower,-4.2248248951398555,t(T-1),Bartlett,19,auto_floor_h-1,1.2044183779076013e-05,2.6715467902092615e-05,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,0.0014960662025171865,0.05,True,tested
hybrid_vs_garch,1day,^GDAXI,SquaredError,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.0015224450017709689,0.0008088075322141161,0.0007136374695568527,B_lower,2.292678812119027,t(T-1),Bartlett,21,auto_floor_h-1,7.625065640966472e-05,0.022129830950401493,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,0.8409335761152568,0.05,False,tested
hybrid_vs_garch,1day,^GDAXI,SquaredError,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00020935061555434048,0.0008088075322141161,-0.0005994569166597756,A_lower,-5.34704948644646,t(T-1),Bartlett,21,fixed_21,9.891502759673568e-06,1.1728364781039029e-07,holm,hybrid_vs_garch|SquaredError|fixed_21,63,6.9197352208130266e-06,0.05,True,tested
hybrid_vs_garch,1day,^GDAXI,SquaredError,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00028615863994561175,0.0008088075322141161,-0.0005226488922685043,A_lower,-4.133201021924469,t(T-1),Bartlett,21,fixed_21,1.2584087944029815e-05,3.961764033172355e-05,holm,hybrid_vs_garch|SquaredError|fixed_21,63,0.0022185878585765186,0.05,True,tested
hybrid_vs_garch,1day,^GDAXI,SquaredError,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.0015224450017709689,0.0008088075322141161,0.0007136374695568527,B_lower,2.292678812119027,t(T-1),Bartlett,21,fixed_21,7.625065640966472e-05,0.022129830950401493,holm,hybrid_vs_garch|SquaredError|fixed_21,63,0.8409335761152568,0.05,False,tested
hybrid_vs_garch,1day,^N225,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7341957643845757,-0.7214466482597207,-0.012749116124854964,A_lower,-4.73720698211449,t(T-1),Bartlett,19,auto_floor_h-1,0.005700200930859472,2.571027705157937e-06,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.0001311224129630548,0.05,True,tested
hybrid_vs_garch,1day,^N225,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7341755327566338,-0.7214466482597207,-0.012728884496913097,A_lower,-4.42575457355943,t(T-1),Bartlett,21,auto_floor_h-1,0.006509996724470054,1.0968054411562208e-05,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.0005154985573434238,0.05,True,tested
hybrid_vs_garch,1day,^N225,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.6844994752161601,-0.7214466482597207,0.036947173043560606,B_lower,2.449474435456516,t(T-1),Bartlett,24,auto_floor_h-1,0.17905701457923107,0.01452372934676928,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.42118815105630913,0.05,False,tested
hybrid_vs_garch,1day,^N225,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7341957643845757,-0.7214466482597207,-0.012749116124854964,A_lower,-4.688659234015929,t(T-1),Bartlett,21,fixed_21,0.005818855150159478,3.241612035347848e-06,holm,hybrid_vs_garch|QLIKE|fixed_21,63,0.00015883898973204454,0.05,True,tested
hybrid_vs_garch,1day,^N225,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7341755327566338,-0.7214466482597207,-0.012728884496913097,A_lower,-4.42575457355943,t(T-1),Bartlett,21,fixed_21,0.006509996724470054,1.0968054411562208e-05,holm,hybrid_vs_garch|QLIKE|fixed_21,63,0.0005154985573434238,0.05,True,tested
hybrid_vs_garch,1day,^N225,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.6844994752161601,-0.7214466482597207,0.036947173043560606,B_lower,2.4929423111125417,t(T-1),Bartlett,21,fixed_21,0.17286724246031177,0.012873678794650735,holm,hybrid_vs_garch|QLIKE|fixed_21,63,0.37333668504487133,0.05,False,tested
