Horizon,Index,Model,Validation_RMSE,Validation_MAE,Validation_QLIKE,Test_RMSE,Test_MAE,Test_QLIKE
22day,^FTSE,GARCH,0.08814405792819313,0.05309963681794827,-0.775364834101139,0.06334312872766083,0.05350582290713659,-1.2394579149637257
22day,^GDAXI,GARCH,0.1014126607481053,0.06299070220229161,-0.6020828006410863,0.06207499598419327,0.05129725175138014,-0.9859873503879638
22day,^N225,GARCH,0.06919855863962017,0.049796690067142976,-0.6641453989317025,0.11486845573584564,0.06923472276801201,-0.6521486942812031
22day,^HSI,GARCH,0.08491238437055484,0.0590357167577391,-0.5248035385066261,0.09241560482017162,0.05912363429447377,-0.4767779996916059
22day,000001.SS,GARCH,0.07727925318258379,0.07009381432581507,-0.8212819923548722,0.09421144796654529,0.08451281381998432,-0.9460690240000886
22day,^GSPC,EGARCH,0.12366942371697925,0.0691767365281467,-0.6822605191338879,0.06972219480012912,0.05546912742211042,-0.9733800529588779
22day,^IXIC,EGARCH,0.12343757696566986,0.07269126846760515,-0.4649198971267695,0.07454526155929489,0.05391040238629953,-0.6810609783962951
22day,^FTSE,EGARCH,0.08802483875450605,0.05449699981889312,-0.7747793781885876,0.0615172846620575,0.05036202434561631,-1.2462763752335664
22day,^GDAXI,EGARCH,0.10115493731266094,0.06421072039175318,-0.6005367135819133,0.06784490797196296,0.05832935815864021,-0.9745624807999004
22day,^N225,EGARCH,0.07753754288358268,0.061500441249858276,-0.6500584293489835,0.11211102826062114,0.0814409692114416,-0.6432160240329915
22day,^HSI,EGARCH,0.0849683091894403,0.06214844587806789,-0.5228488958260111,0.08978797306963682,0.06461458560218424,-0.4748858167445425
22day,000001.SS,EGARCH,0.07866755659488486,0.06594686393039866,-0.8236033297986416,0.08142959722485617,0.06545707825430971,-0.9806579769659606
22day,^GSPC,GJRGARCH,0.12353547877327417,0.07137279400027223,-0.6868613898059295,0.0628593312653319,0.04467759793594706,-0.9945846729113983
22day,^IXIC,GJRGARCH,0.12526847546798928,0.07705920536905816,-0.46308897464752546,0.06787031769564163,0.04547681674971326,-0.6934178448962158
22day,^FTSE,GJRGARCH,0.08691725267804497,0.05467045686439952,-0.7798417552097175,0.06498663642122336,0.05221139318545094,-1.244033556858492
22day,^GDAXI,GJRGARCH,0.10090385349633481,0.06978447747078284,-0.6032162570934827,0.07753347749722367,0.06813363302317672,-0.9562141369788371
22day,^N225,GJRGARCH,0.06406110025141047,0.04749216157347113,-0.6675114206924265,0.11294376836866185,0.06840578134862492,-0.6567494940559773
22day,^HSI,GJRGARCH,0.08242653265362479,0.05914019478485784,-0.5273017008726454,0.0992449694138164,0.060315876352243246,-0.47245282024890967
22day,000001.SS,GJRGARCH,0.08018001006619369,0.07314255938445498,-0.8159231057100672,0.09703362679477386,0.08780308835031386,-0.9389936198270014
22day,^GSPC,LinearRegression,0.1305140727802832,0.07659448038007435,-0.6532764184796661,0.07043561875603074,0.044875866756325676,-0.9561052790157211
22day,^IXIC,LinearRegression,0.13425948911124874,0.08605733735432285,-0.4360614137817798,0.08273111993332488,0.052026759215857525,-0.6576218233655782
22day,^FTSE,LinearRegression,0.09140911591329957,0.05908827429701692,-0.7445230384293483,0.05865920329317919,0.039927581042735735,7662.279945791973
22day,^GDAXI,LinearRegression,0.10409117394553168,0.06912450354848906,-0.5913694667260164,0.061093180737439495,0.04633260496201372,-0.9881894803763657
22day,^N225,LinearRegression,0.0717939967370181,0.053163029399525295,-0.654544742780014,0.11863759643321678,0.06206231476398851,32866.91623893807
22day,^HSI,LinearRegression,0.10179364848069541,0.06830278871491274,-0.4996853868695922,0.1151721794884833,0.07552234422438342,21909.63684722335
22day,000001.SS,LinearRegression,0.060886968259615,0.04544898857957254,-0.8520688930350814,0.08290676268485343,0.057230128257103274,-0.9667082294848317
22day,^GSPC,RandomForest,0.1312529989268211,0.07492644626894236,-0.6536545258209338,0.07886293895634966,0.05829951850349396,-0.9599940147129065
22day,^IXIC,RandomForest,0.13584982021663894,0.08696593880164337,-0.42330807611968146,0.08589510863495142,0.058954283360816616,-0.654954443029847
22day,^FTSE,RandomForest,0.09242191427368442,0.05844449738166847,-0.7637165018064944,0.06228542834502155,0.04813845201462377,-1.2534050230496923
22day,^GDAXI,RandomForest,0.10319707400457791,0.0686107374691786,-0.594783644744602,0.06715307137017522,0.05349416579541098,-0.9802364619807471
22day,^N225,RandomForest,0.10662973605342402,0.06648528416758688,-0.6453127931236593,0.11431906994904552,0.08090495342324613,-0.6357662498253795
22day,^HSI,RandomForest,0.1181716458394576,0.08183628919138161,-0.48603333036942903,0.11847035064302111,0.08006241005807552,-0.42525419908362333
22day,000001.SS,RandomForest,0.0824958586117039,0.06121080380943642,-0.8276305293417832,0.09824557390923865,0.07402414196106652,-0.9635781562138269
22day,^GSPC,XGBoost,0.13882346177542051,0.07603879811906337,-0.6170613775407389,0.08252714169157084,0.06135377224052967,-0.9404195202244955
22day,^IXIC,XGBoost,0.14115104313227012,0.0875724213633093,-0.39868958080182304,0.08312190387845123,0.05894583383410981,-0.6551909723284185
22day,^FTSE,XGBoost,0.10094701832732583,0.06614254586642433,-0.7135499741809904,0.0636777103567437,0.0468859235197959,-1.2440056299655657
22day,^GDAXI,XGBoost,0.11098238270061031,0.0752815129504339,-0.5562348559305812,0.06948584249729862,0.05341768529185208,-0.9836291545761549
22day,^N225,XGBoost,0.09066490933454416,0.06661463099645709,-0.6388657124710039,0.13327624527743945,0.0960204566073013,-0.5708678901713353
22day,^HSI,XGBoost,0.10433793086106687,0.07320819942527243,-0.4881197210700334,0.113738650708475,0.07765557367603729,-0.4312549695933037
22day,000001.SS,XGBoost,0.0911352358495693,0.065723786131968,-0.8164421647244298,0.08721689969163447,0.062400532450910276,-0.9746022501681073
1day,^GSPC,LSTM,0.02547101377098114,0.014160348618552554,-0.7909084135966884,0.013294202982428342,0.008961020261954129,-1.0734885326252948
1day,^IXIC,LSTM,0.0268965359206418,0.017251198487201108,-0.5494440069320112,0.022280684610148857,0.015521376390657057,-0.7485708218264312
1day,^FTSE,LSTM,0.0157945293770688,0.009664223522895348,-0.8498475583347191,0.011119857439776174,0.007582261175235708,-1.3449205299457003
1day,^GDAXI,LSTM,0.01887004991349543,0.0112661570815648,-0.6783965486021789,0.010188137555126937,0.006948650865549815,-1.0635831566761478
1day,^N225,LSTM,0.014023323551858017,0.00968478542383111,-0.6955462909625739,0.020690074163237777,0.0105666497915117,-0.7342566364317225
