Date,garch_vol_feature
2005-05-18,0.00842760233919864
2005-05-19,0.008582444661515747
2005-05-20,0.008240926922893445
2005-05-23,0.007846864791226614
2005-05-24,0.0075336184611637345
2005-05-25,0.007169467783706422
2005-05-26,0.006966091214322325
2005-05-27,0.006927425486966181
2005-05-30,0.006616757455284878
2005-05-31,0.006336348894209978
2005-06-01,0.006478746865308083
2005-06-02,0.006811862248867927
2005-06-03,0.006521436084671067
2005-06-06,0.006731600239704348
2005-06-07,0.006441241589339163
2005-06-08,0.006179870417507185
2005-06-09,0.006008942524830103
2005-06-10,0.0059879416200634035
2005-06-13,0.00584783697659533
2005-06-14,0.005665260891742395
2005-06-15,0.005513272091630731
2005-06-16,0.00536437512689681
2005-06-17,0.005301493645406052
2005-06-20,0.005349499622648957
2005-06-21,0.005208133470818458
2005-06-22,0.005140295228727852
2005-06-23,0.005004368900543715
2005-06-24,0.006217030267108122
2005-06-27,0.006580410497945191
2005-06-28,0.006316032480270005
2005-06-29,0.006697511763367184
2005-06-30,0.00644241760385044
2005-07-01,0.006695266480823665
2005-07-04,0.006440031326450208
2005-07-05,0.006176128030185945
2005-07-06,0.0065399485544891936
2005-07-07,0.006947575330120107
2005-07-08,0.006663022620659985
2005-07-11,0.007368002896544628
2005-07-12,0.007267445728032024
2005-07-13,0.006948008875046728
2005-07-14,0.006635002634132747
2005-07-15,0.006386093219906615
2005-07-18,0.006126981251095573
2005-07-19,0.006238586334095344
2005-07-20,0.00633167262357701
2005-07-21,0.006232385201813424
2005-07-22,0.006455805529898066
2005-07-25,0.006393405613558071
2005-07-26,0.006303171309494022
2005-07-27,0.006060998962302575
2005-07-28,0.005979931868846012
2005-07-29,0.0059953438383663574
2005-08-01,0.006405299552574767
2005-08-02,0.006142611519827733
2005-08-03,0.006290846819293159
2005-08-04,0.0060380008993184756
2005-08-05,0.006397334048961719
2005-08-08,0.006730219777697701
2005-08-09,0.0065294352429580435
2005-08-10,0.0065829307904672705
2005-08-11,0.006354584991313328
2005-08-12,0.006467035085941358
2005-08-15,0.00658104376806683
2005-08-16,0.00634508954092497
2005-08-17,0.007378040042053136
2005-08-18,0.007026276712823874
2005-08-19,0.0067267411967841615
2005-08-22,0.006433117374601929
2005-08-23,0.006176942398597986
2005-08-24,0.00608336251206907
2005-08-25,0.006326496375127361
2005-08-26,0.006096870511054053
2005-08-29,0.006266785277713651
2005-08-30,0.006277451926023937
2005-08-31,0.006158144059090204
2005-09-01,0.006676767941130002
2005-09-02,0.006389420022069064
2005-09-05,0.006239596746630003
2005-09-06,0.005994708536723141
2005-09-07,0.007023826096044814
2005-09-08,0.006730773408835869
2005-09-09,0.006603076123890666
2005-09-12,0.0067829251452478255
2005-09-13,0.006499557056057329
2005-09-14,0.006802039727419652
2005-09-15,0.006630298227332438
2005-09-16,0.006345673118428363
2005-09-19,0.006607516926683615
2005-09-20,0.00665483393651684
2005-09-21,0.006974436097095433
2005-09-22,0.007418052115246884
2005-09-23,0.00713639322252689
2005-09-26,0.006805816444509521
2005-09-27,0.006505813871761903
2005-09-28,0.006235481192585113
2005-09-29,0.005989340714535008
2005-09-30,0.006392136861300623
2005-10-03,0.0061305153894576124
2005-10-04,0.0059434794864593
2005-10-05,0.006739284809336279
2005-10-06,0.008297484286092189
2005-10-07,0.008022887654289004
2005-10-10,0.007686082608678923
2005-10-11,0.00775932704577362
2005-10-12,0.007428297820974084
2005-10-13,0.007417916295697327
2005-10-14,0.007076048150193059
2005-10-17,0.007220484546197939
2005-10-18,0.006928447416068552
2005-10-19,0.007525018784324799
2005-10-20,0.008607900612598411
2005-10-21,0.009707609146679045
2005-10-24,0.009167505415621717
2005-10-25,0.01019903213074757
2005-10-26,0.009666052886432276
2005-10-27,0.009271513964449779
2005-10-28,0.009521462066380623
2005-10-31,0.010438651663523625
2005-11-01,0.010078460203769363
2005-11-02,0.009603592892163688
2005-11-03,0.00959136386336404
2005-11-04,0.009138115158162386
2005-11-07,0.008639609903601476
2005-11-08,0.00819804372649895
2005-11-09,0.00789339928727112
2005-11-10,0.007505939036165168
