Horizon,Index,Model,Date,Actual,Predicted,SquaredError,AbsoluteError,QLIKE_Loss
5day,^GSPC,GARCHGRU,2023-07-04,0.0990148201028137,0.1037391498684883,2.231929173483895e-05,0.0047243297656745925,-1.311416176109194
5day,^GSPC,GARCHGRU,2023-07-05,0.0974149763314042,0.1042966246604919,4.735708372523561e-05,0.006881648329087706,-1.326497784983041
5day,^GSPC,GARCHGRU,2023-07-06,0.0985850330669101,0.1173584461212158,0.0003524410377075757,0.0187734130543057,-1.3024888274227786
5day,^GSPC,GARCHGRU,2023-07-07,0.0989222858958529,0.1177201196551323,0.0003533585540415039,0.01879783375927939,-1.2991277606235472
5day,^GSPC,GARCHGRU,2023-07-10,0.0918553894576958,0.1117183566093444,0.0003945374640674715,0.019862967151648606,-1.369569265268762
5day,^GSPC,GARCHGRU,2023-07-11,0.0925242689405686,0.1056657433509826,0.00017269834967956584,0.013141474410413995,-1.3718428842592354
5day,^GSPC,GARCHGRU,2023-07-12,0.0924171527839731,0.0994393527507782,4.9311292373797566e-05,0.007022199966805101,-1.3788252578207638
5day,^GSPC,GARCHGRU,2023-07-13,0.0943245404766007,0.0942600592970848,4.1578225117626584e-09,6.448117951590726e-05,-1.3610136509724609
5day,^GSPC,GARCHGRU,2023-07-14,0.0913780219605162,0.0961461290717125,2.2734845423840685e-05,0.004768107111196296,-1.3914783611399681
5day,^GSPC,GARCHGRU,2023-07-17,0.0914674320310763,0.0948752909898758,1.1613502683069998e-05,0.003407858958799498,-1.3911113280326377
5day,^GSPC,GARCHGRU,2023-07-18,0.0851398081304913,0.0940340980887413,7.910839386142691e-05,0.008894289958250007,-1.4586836122189002
5day,^GSPC,GARCHGRU,2023-07-19,0.0822391129263943,0.0948937684297561,0.00016014030590876503,0.012654655503361797,-1.488353262466699
5day,^GSPC,GARCHGRU,2023-07-20,0.081070299289206,0.1020986288785934,0.0004421906453199056,0.0210283295893874,-1.48777692322831
5day,^GSPC,GARCHGRU,2023-07-21,0.0853079471954089,0.1027140021324157,0.0003029707484700986,0.017406054937006796,-1.4452681955292996
5day,^GSPC,GARCHGRU,2023-07-24,0.0849068970719301,0.1014692187309265,0.0002743104987360614,0.016562321658996404,-1.4512248733243087
5day,^GSPC,GARCHGRU,2023-07-25,0.0780040479981695,0.0965010300278663,0.00034213834420692617,0.018496982029696796,-1.5298781211570547
5day,^GSPC,GARCHGRU,2023-07-26,0.0934649357248024,0.0964694619178772,9.027177644872548e-06,0.0030045261930747996,-1.3696736199839932
5day,^GSPC,GARCHGRU,2023-07-27,0.094053821795054,0.0939448177814483,1.1881874982153737e-08,0.00010900401360570966,-1.363887415655453
5day,^GSPC,GARCHGRU,2023-07-28,0.0957603029492741,0.0900118872523307,3.304428302486526e-05,0.005748415696943399,-1.3439506863131232
5day,^GSPC,GARCHGRU,2023-07-31,0.0953602735660943,0.0905025526881218,2.3597452128290015e-05,0.00485772087797251,-1.3487022623683953
5day,^GSPC,GARCHGRU,2023-08-01,0.0961440164942175,0.094398133456707,3.0481075806668843e-06,0.0017458830375104983,-1.3417390893341175
5day,^GSPC,GARCHGRU,2023-08-02,0.0997867436047301,0.109400063753128,9.241592427559302e-05,0.0096133201483979,-1.3006168825326931
5day,^GSPC,GARCHGRU,2023-08-03,0.09739605431244,0.1166784241795539,0.0003718097876921822,0.019282369867113902,-1.3135944408008433
